               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.042603,            0.011351,            0.011159,             0.84471,             0.86468,             0.97394,             0.67947,            0.025944,           0.0058279,           0.0044101,           0.0080992,           0.0080992,           0.0080992
                  98,            0.042749,            0.010907,            0.011668,             0.68532,             0.92008,             0.82942,             0.47627,            0.041034,           0.0061358,           0.0040214,           0.0080794,           0.0080794,           0.0080794
                  99,            0.045427,            0.012483,            0.010151,             0.49162,               0.975,             0.66987,             0.41137,            0.031738,            0.006121,           0.0042635,           0.0080596,           0.0080596,           0.0080596
                 100,            0.039233,            0.011691,            0.010479,             0.49162,               0.975,             0.66987,             0.41137,            0.031738,            0.006121,           0.0042635,           0.0080398,           0.0080398,           0.0080398
                 101,            0.036823,            0.012148,             0.00932,             0.97106,             0.96687,             0.98852,              0.6615,            0.025561,           0.0057413,            0.004831,             0.00802,             0.00802,             0.00802
                 102,            0.034872,            0.011334,            0.011098,             0.82032,             0.96736,             0.95762,             0.60462,            0.027953,           0.0059158,           0.0044264,           0.0080002,           0.0080002,           0.0080002
                 103,            0.036603,            0.010993,           0.0089002,             0.74073,             0.91082,              0.9341,             0.61715,            0.034383,           0.0063494,           0.0050327,           0.0079804,           0.0079804,           0.0079804
                 104,            0.044343,           0.0097467,           0.0098659,             0.74073,             0.91082,              0.9341,             0.61715,            0.034383,           0.0063494,           0.0050327,           0.0079606,           0.0079606,           0.0079606
                 105,            0.040158,           0.0098033,           0.0093711,             0.86821,                0.95,             0.97762,             0.72365,            0.027881,           0.0060578,           0.0054314,           0.0079408,           0.0079408,           0.0079408
                 106,            0.040518,            0.013656,           0.0073476,             0.53823,             0.94372,             0.81016,             0.55262,            0.035813,           0.0063382,           0.0047056,            0.007921,            0.007921,            0.007921
                 107,            0.049497,            0.011154,           0.0093897,             0.91063,             0.98058,               0.995,             0.53226,            0.026212,           0.0057312,           0.0035894,           0.0079012,           0.0079012,           0.0079012
                 108,            0.036083,            0.010182,           0.0083682,             0.91063,             0.98058,               0.995,             0.53226,            0.026212,           0.0057312,           0.0035894,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032409,            0.012189,           0.0075221,             0.99572,                   1,               0.995,             0.62548,            0.022305,            0.005393,           0.0035618,           0.0078616,           0.0078616,           0.0078616
                 110,            0.036316,             0.01057,            0.010727,              0.7971,             0.95417,             0.85521,              0.5109,            0.027881,           0.0056475,           0.0035014,           0.0078418,           0.0078418,           0.0078418
                 111,            0.042236,            0.010454,           0.0081003,             0.82385,             0.98332,             0.96176,             0.52186,            0.031922,            0.005761,           0.0034544,            0.007822,            0.007822,            0.007822
